DateID,ProductID,CustomerID,ShipModeID,Sales,Profit,Quantity,AvgOrderValue,DeliveryDays
1,1,1,1,957.5775,-383.031,5,191.5155,7
1,2,1,1,22.368,2.5164,2,11.184,7
2,3,2,1,68.81,-123.858,5,13.762,4
2,4,2,1,2.544,-3.816,3,0.848,4
3,5,3,2,71.372,-1.0196,2,35.686,2
3,5,178,2,71.372,-1.0196,2,35.686,2
4,6,4,1,3083.43,-1665.0522,7,440.48999999999995,4
4,7,4,1,9.618,-7.0532,2,4.809,4
4,8,4,1,124.2,15.525,3,41.4,4
4,623,4,1,124.2,15.525,3,41.4,4
4,9,4,1,3.264,1.1016,2,1.632,4
4,10,4,1,86.304,9.7092,6,14.384,4
4,11,4,1,6.858,-5.715,6,1.143,4
4,12,4,1,15.76,3.546,2,7.88,4
5,13,5,1,213.115,-15.2225,5,42.623000000000005,5
5,13,368,1,213.115,-15.2225,5,42.623000000000005,5
5,13,625,1,213.115,-15.2225,5,42.623000000000005,5
5,31,5,1,213.115,-15.2225,5,42.623000000000005,5
5,31,368,1,213.115,-15.2225,5,42.623000000000005,5
5,31,625,1,213.115,-15.2225,5,42.623000000000005,5
6,14,6,1,831.936,-114.3912,8,103.992,6
6,14,8,1,831.936,-114.3912,8,103.992,6
6,14,20,1,831.936,-114.3912,8,103.992,6
6,14,383,1,831.936,-114.3912,8,103.992,6
6,14,428,1,831.936,-114.3912,8,103.992,6
6,14,460,1,831.936,-114.3912,8,103.992,6
6,15,6,1,97.04,1.213,2,48.52,6
6,15,8,1,97.04,1.213,2,48.52,6
6,15,20,1,97.04,1.213,2,48.52,6
6,15,383,1,97.04,1.213,2,48.52,6
6,15,428,1,97.04,1.213,2,48.52,6
6,15,460,1,97.04,1.213,2,48.52,6
6,16,6,1,72.784,-18.196,1,72.784,6
6,16,8,1,72.784,-18.196,1,72.784,6
6,16,20,1,72.784,-18.196,1,72.784,6
6,16,383,1,72.784,-18.196,1,72.784,6
6,16,428,1,72.784,-18.196,1,72.784,6
6,16,460,1,72.784,-18.196,1,72.784,6
7,17,7,3,1.248,-1.9344,3,0.416,2
7,18,7,3,9.708,-5.8248,3,3.236,2
7,19,7,3,27.24,2.724,3,9.08,2
8,20,6,2,19.3,-14.475,5,3.8600000000000003,5
8,20,8,2,19.3,-14.475,5,3.8600000000000003,5
8,20,20,2,19.3,-14.475,5,3.8600000000000003,5
8,20,383,2,19.3,-14.475,5,3.8600000000000003,5
8,20,428,2,19.3,-14.475,5,3.8600000000000003,5
8,20,460,2,19.3,-14.475,5,3.8600000000000003,5
9,21,9,3,230.376,-48.9549,3,76.792,3
9,21,25,3,230.376,-48.9549,3,76.792,3
9,21,317,3,230.376,-48.9549,3,76.792,3
10,22,10,1,5.682,-3.788,1,5.682,6
11,23,11,1,238.896,-26.8758,6,39.815999999999995,4
11,23,450,1,238.896,-26.8758,6,39.815999999999995,4
11,24,11,1,102.36,-3.8385,3,34.12,4
11,24,450,1,102.36,-3.8385,3,34.12,4
11,25,11,1,36.882,-25.8174,3,12.293999999999999,4
11,25,450,1,36.882,-25.8174,3,12.293999999999999,4
12,26,12,1,157.794,-115.7156,1,157.794,5
12,26,93,1,157.794,-115.7156,1,157.794,5
12,26,600,1,157.794,-115.7156,1,157.794,5
13,27,13,2,600.558,-8.5794,3,200.186,2
13,27,437,2,600.558,-8.5794,3,200.186,2
14,28,14,1,617.7,-407.682,6,102.95,5
15,29,15,1,2.388,-1.8308,2,1.194,7
15,30,15,1,243.992,30.499,7,34.856,7
16,13,16,2,81.424,-9.1602,2,40.712,4
16,13,248,2,81.424,-9.1602,2,40.712,4
16,13,427,2,81.424,-9.1602,2,40.712,4
16,13,646,2,81.424,-9.1602,2,40.712,4
16,31,16,2,81.424,-9.1602,2,40.712,4
16,31,248,2,81.424,-9.1602,2,40.712,4
16,31,427,2,81.424,-9.1602,2,40.712,4
16,31,646,2,81.424,-9.1602,2,40.712,4
16,32,16,2,238.56,26.2416,3,79.52,4
16,32,248,2,238.56,26.2416,3,79.52,4
16,32,427,2,238.56,26.2416,3,79.52,4
16,32,646,2,238.56,26.2416,3,79.52,4
17,33,17,3,59.97,-11.994,5,11.994,3
17,33,445,3,59.97,-11.994,5,11.994,3
17,34,17,3,78.304,29.364,2,39.152,3
17,34,445,3,78.304,29.364,2,39.152,3
17,126,17,3,78.304,29.364,2,39.152,3
17,126,445,3,78.304,29.364,2,39.152,3
17,35,17,3,21.456,6.9732,9,2.384,3
17,35,445,3,21.456,6.9732,9,2.384,3
18,36,18,1,52.448,-131.12,2,26.224,5
18,36,232,1,52.448,-131.12,2,26.224,5
18,37,18,1,20.16,6.552,4,5.04,5
18,37,232,1,20.16,6.552,4,5.04,5
19,38,19,2,97.264,-243.16,4,24.316,4
20,39,6,2,396.802,-11.3372,7,56.686,2
20,39,8,2,396.802,-11.3372,7,56.686,2
20,39,20,2,396.802,-11.3372,7,56.686,2
20,39,383,2,396.802,-11.3372,7,56.686,2
20,39,428,2,396.802,-11.3372,7,56.686,2
20,39,460,2,396.802,-11.3372,7,56.686,2
20,40,6,2,15.88,-3.7715,5,3.176,2
20,40,8,2,15.88,-3.7715,5,3.176,2
20,40,20,2,15.88,-3.7715,5,3.176,2
20,40,383,2,15.88,-3.7715,5,3.176,2
20,40,428,2,15.88,-3.7715,5,3.176,2
20,40,460,2,15.88,-3.7715,5,3.176,2
21,41,21,1,2.946,-2.2586,2,1.473,7
21,42,21,1,16.056,5.8203,3,5.352,7
22,43,22,2,66.284,-178.9668,2,33.142,4
23,44,23,1,161.568,-28.2744,2,80.784,4
23,45,23,1,389.696,43.8408,8,48.712,4
24,46,24,1,18.648,-12.432,7,2.664,4
25,47,9,1,233.86,-102.048,2,116.93,5
25,47,25,1,233.86,-102.048,2,116.93,5
25,47,317,1,233.86,-102.048,2,116.93,5
25,48,9,1,620.6145,-248.2458,3,206.8715,5
